ID,SP,L,W,Wb,A,W10,W25,W50,W80,W90,dW,BS,Hs,Mu,LBs,P,H,D,S,Sl,Sw,St
CR11,deltoides,11.7,2,1.3,20.1,1.75,1.98,2,1.33,0.75,5.52,0.04,0.5,0.73,0.35,30.2,6.35,8.45,2,5,3.63,2.76
CR12,deltoides,13,1.66,1.17,17.2,1.52,1.6,1.6,1.22,0.73,4.36,0.07,0.48,1.45,0.3,30.8,6.45,8.61,3,5,3,2.9
CR13,deltoides,12.83,1.37,0.92,14.7,1.31,1.34,1.38,1,0.5,4,0.07,0.49,1.32,0.31,27.7,6.43,8.6,3,5,3.2,2.6
CR14,deltoides,12.85,1.54,1,15.9,1.43,1.47,1.5,1.1,0.67,4.87,0.06,0.5,1,0.3,28,6.45,8.28,2,4.7,4,2.8
CR15,deltoides,10.42,1.41,1.15,13.8,1.37,1.33,1.45,0.8,0.54,1.8,0.04,0.54,0.75,0.3,25.8,6.46,8.76,3,5.1,3.2,2.45
CR21,deltoides,13.3,1.42,0.98,17.5,1.28,1.36,1.34,0.9,0.57,3.52,0.08,0.53,0.68,0.3,31,9.67,11.23,3,6.76,3.48,3.38
CR22,deltoides,13.68,1.36,1.33,17.1,1.34,1.32,1.22,0.85,0.6,3,0.09,0.58,0.63,0.32,35.5,10.2,11.6,3,7.1,3.4,3.44
CR23,deltoides,16.27,1.46,0.9,21,1.3,1.42,1.27,0.84,0.57,3.65,0.09,0.53,1.2,0.29,45.8,9.85,10.9,3,6.93,3.48,3.47
CR24,deltoides,13.7,1.42,1.24,17,1.42,1.42,1.31,1.88,0.6,1.82,0.08,0.53,0.8,0.3,36.4,9.9,10.5,3,7,3.45,3.45
CR25,deltoides,14.45,1.53,1.19,17.3,1.47,1.35,1.11,0.75,0.54,1,0.09,0.55,0.72,0.28,36.3,9.4,10.7,3,6.5,3.47,3.23
CR31,deltoides,11.3,1.35,1.2,15.4,1.34,1.35,1.27,0.87,0.63,2.2,0.05,0.53,1,0.26,28.8,8.7,9.27,3,5.4,3,2
CR32,deltoides,12,1.28,0.94,15.3,1.17,1.22,1.11,0.8,0.95,2,0.07,0.53,0.77,0.29,29.7,8,9,2,5.23,3.62,2.76
CR33,deltoides,12.3,1.3,0.81,14.5,1.11,1.26,1.11,0.85,0.5,4.26,0.05,0.44,0.96,0.26,32.5,9.1,10.4,2,6,3.2,3.68
CR34,deltoides,13.27,1.34,0.85,16.4,1.31,1.28,1.25,0.91,0.57,2.16,0.05,0.42,0.83,0.29,34.1,8.2,9.4,3,5.5,3,2.85
CR35,deltoides,12.96,1.4,1.02,15.1,1.37,1.33,1.25,0.79,0.5,2.22,0.06,0.49,1.22,0.27,35.4,8.3,9,2,5.27,3.8,3.34
CR41,deltoides,12.4,1.34,0.87,15,1.26,1.32,1.2,0.72,0.37,3.76,0.01,0.34,1.21,0.31,29.9,7.8,8.5,2,5.3,3.28,2.08
CR42,deltoides,12.15,1.59,1.15,16.3,1.4,1.5,1.5,1.1,0.75,4.37,0.01,0.38,0.41,0.32,32.2,7.58,8.7,3,5.55,2.61,2.44
CR43,deltoides,11.1,1.39,1.11,14.1,1.3,1.3,1.2,0.8,0.5,2.28,0.04,0.43,0.77,0.28,31.1,7.76,8.26,3,5.27,2.54,2.77
CR44,deltoides,13.13,1.43,0.84,15.4,1.31,1.42,1.31,0.8,0.51,3.22,0.01,0.34,0.85,0.27,29.1,8.18,8.45,3,5.32,2.55,2.43
CR45,deltoides,10.65,1.29,0.96,11,1.16,1.22,1.16,0.74,0.48,4,0.02,0.48,0.67,0.26,23.9,7.93,8.31,3,5.49,2.63,2.55
VASO11,oxycedrus,11.93,2,1.11,20.13,1.49,1.96,1.81,1.3,0.77,4.21,0.03,0.41,0.66,0.36,39,10.6,11.17,3,6.92,4.34,3.75
VASO12,oxycedrus,10.1,1.69,0.84,15.6,1.14,1.5,1.59,1.42,1.18,3.41,0.01,0.29,0.23,0.31,34.9,10.8,11.5,3,7.27,4.08,3.74
VASO13,oxycedrus,11.73,1.67,1.07,16.7,1.31,1.63,1.48,1.03,0.73,3.76,0.06,0.44,0.35,0.32,32.5,11.2,11,3,6.63,4.21,4.68
VASO14,oxycedrus,13.04,1.62,1.35,19.7,1.41,1.62,1.4,0.87,0.61,3.72,0.03,0.42,0.71,0.3,53.4,9.8,10.6,2,6.48,3.76,4.79
