"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Acer campestre","Acer campestre",13.4214285714286,360.5,184.2079463,4741.5,54.3482823529412,"Acer"
"Achillea millefolium","Achillea millefolium",0.3955,185.5,21.7633333333333,411,0.131833333333333,"Achillea"
"Aegopodium podagraria","Aegopodium podagraria",0.558333333333333,230,753.5581651,13500.242,1.68093333333333,"Aegopodium"
"Aethusa cynapium","Aethusa cynapium",0.441666666666667,193.55,118.208577966,3207.7575,1.69492,"Aethusa"
"Agrimonia eupatoria","Agrimonia eupatoria",0.333333333333333,339.5,494.5374473,8461,14.178,"Agrimonia"
"Agrostemma githago","Agrostemma githago",0.66,204.54,57.225,999.75,14.554875,"Agrostemma"
"Agrostis canina","Agrostis canina",0.3,281.985,1.950036232,67,0.0554857142857143,"Agrostis"
"Aira caryophyllea","Aira caryophyllea",0.11,279.666666666667,1.078029614,14.2,0.108,"Aira"
"Ajuga chamaepitys","Ajuga chamaepitys",0.0916666666666667,157.93,3.065,70.5,1.215,"Ajuga"
"Ajuga reptans","Ajuga reptans",0.161666666666667,153,17.36967841,556,1.46519,"Ajuga"
"Alcea rosea","Alcea rosea",1.57,202.64,615,8249,8.94266666666667,"Alcea"
"Alisma lanceolatum","Alisma lanceolatum",0.275,118.25,64.3655555555556,1774.8,0.3843,"Alisma"
"Alisma plantago-aquatica","Alisma plantago-aquatica",0.325,135.03,516.259252275,11979.4166666667,0.382625,"Alisma"
"Alliaria petiolata","Alliaria petiolata",0.45,161.333333333333,213.937010866667,7514,2.348,"Alliaria"
"Allium carinatum","Allium carinatum",0.225,111.11,44,1280,1.2937777775,"Allium"
"Allium sphaerocephalon","Allium sphaerocephalon",0.225,134.51,342.43,1940.63,1.46266666666667,"Allium"
"Allium ursinum","Allium ursinum",0.275,114.333333333333,196.761776666667,6656.66666666667,5.3948,"Allium"
"Allium vineale","Allium vineale",0.25,170.5,101.166029705,1195,7.504,"Allium"
"Alopecurus myosuroides","Alopecurus myosuroides",0.3,272,21.48647482,547,2.15047619042857,"Alopecurus"
"Alopecurus pratensis","Alopecurus pratensis",0.45,308.06,43.430614195,1088.125,0.658,"Alopecurus"
"Althaea officinalis","Althaea officinalis",0.71625,205.345,173.995,4066.625,5.647,"Althaea"
"Amaranthus caudatus","Amaranthus caudatus",0.715,174.74,200.505,4117.22,0.669,"Amaranthus"
"Amaranthus retroflexus","Amaranthus retroflexus",0.451666666666667,222.8025,265.49,3602.75,0.462666666666667,"Amaranthus"
"Ammi majus","Ammi majus",0.395,141.943333333333,2.27333333333333,77.6666666666667,0.615166666666667,"Ammi"
"Anemone nemorosa","Anemone nemorosa",0.138333333333333,205,123.871023095,3003,2.1444,"Anemone"
"Angelica sylvestris","Angelica sylvestris",0.783333333333333,220,1531.2,40902,2.42144444444444,"Angelica"
"Anthemis arvensis","Anthemis arvensis",0.285,139.99,11.2233333333333,373.645,0.7576725,"Anthemis"
"Anthemis cotula","Anthemis cotula",0.285,107,6.168481375,138,0.4542,"Anthemis"
"Anthericum liliago","Anthericum liliago",0.3,162.63,180.665,3337.25,5.56125,"Anthericum"
"Anthriscus caucalis","Anthriscus caucalis",0.36,193.738,114.076814835714,3649.4,1.1758,"Anthriscus"
"Anthyllis vulneraria","Anthyllis vulneraria",0.2,170,63.29470563,1007,3.25339166666667,"Anthyllis"
"Antirrhinum majus","Antirrhinum majus",0.425,165,26.46061644,303,0.1156,"Antirrhinum"
"Aphanes arvensis","Aphanes arvensis",0.085,264,2.341736695,38,0.21576,"Aphanes"
"Arabidopsis thaliana","Arabidopsis thaliana",0.133333333333333,103.5,9.642721352,281,0.02088,"Arabidopsis"
"Arabis hirsuta","Arabis hirsuta",0.323333333333333,166,15.75671642,374,0.0979076923076923,"Arabis"
"Arabis sagittata","Arabis sagittata",0.425,143.525,15.8725,269.675,0.1,"Arabis"
"Arctium lappa","Arctium lappa",1.085,195.363333333333,1542.788,25226.8333333333,13.02328,"Arctium"
"Arctium minus","Arctium minus",0.7,177.333333333333,4104.936905,117000,12.0397523809524,"Arctium"
"Arenaria serpyllifolia","Arenaria serpyllifolia",0.165,219.18,0.654718250666667,13.1833333333333,0.0671106060454545,"Arenaria"
"Aristolochia clematitis","Aristolochia clematitis",0.4,272.3,509.85,8534.625,32.43675,"Aristolochia"
"Arrhenatherum elatius","Arrhenatherum elatius",1.275,291.316666666667,30.654063375,1223,3.07949333333333,"Arrhenatherum"
"Artemisia absinthium","Artemisia absinthium",0.825,220.5,99.43251888,2475.5,0.106057777777778,"Artemisia"
"Artemisia annua","Artemisia annua",0.95,220.88,30.1675,639.692833333333,0.03,"Artemisia"
"Artemisia vulgaris","Artemisia vulgaris",1.4,258,255.2913636,3914.42633333333,0.144933333333333,"Artemisia"
"Arum maculatum","Arum maculatum",0.2425,117.666666666667,317.9066447,10496.6666666667,72.6432533333333,"Arum"
"Asparagus officinalis","Asparagus officinalis",0.9,280.26,3.595,27.335,40.8633666666667,"Asparagus"
"Astragalus glycyphyllos","Astragalus glycyphyllos",0.575,272.5,115.581532135,2720.5,5.15003333333333,"Astragalus"
"Atriplex prostrata","Atriplex prostrata",0.95,144.333333333333,139.77941404,2670.66666666667,2.15622,"Atriplex"
"Avena barbata","Avena barbata",0.18,237.666666666667,0.00482,119,7.92272095242857,"Avena"
"Avena fatua","Avena fatua",0.75,242,320.3024483,5227.5,22.1845,"Avena"
"Avena sterilis","Avena sterilis",0.27,192.73,17.32,560.75,59.232,"Avena"
"Avena strigosa","Avena strigosa",1.54,201.94,69.965,1978,7.44866666666667,"Avena"
"Baldellia ranunculoides","Baldellia ranunculoides",0.125,139,19.6,427,0.426933333333333,"Baldellia"
"Ballota nigra","Ballota nigra",0.625,222,38.35214076,717,0.85785,"Ballota"
"Barbarea vulgaris","Barbarea vulgaris",0.525,174,150.325324805,4750.5,0.606666666666667,"Barbarea"
"Bellis perennis","Bellis perennis",0.055,113.5,11.62723288,359,0.14152,"Bellis"
"Berula erecta","Berula erecta",0.475,96.475,160.63352494,3582.875,0.69945,"Berula"
"Beta vulgaris","Beta vulgaris",1.4,167,751.7,18496,20.4113590243902,"Beta"
"Bidens frondosa","Bidens frondosa",0.525,174.6,110.41,4176,8.66097142857143,"Bidens"
"Bidens tripartita","Bidens tripartita",0.525,152.16,74.7110556533333,2417.08333333333,2.43494,"Bidens"
"Blackstonia perfoliata","Blackstonia perfoliata",0.221666666666667,223.065,18.5374196233333,453.75,0.009,"Blackstonia"
"Borago officinalis","Borago officinalis",0.31,144.74,154.525,3946,15.766,"Borago"
"Brachypodium sylvaticum","Brachypodium sylvaticum",0.825,308.47,20.4262208941667,3886.54545454545,2.78525454545455,"Brachypodium"
"Brassica nigra","Brassica nigra",0.735,128.22,252.94,6916.8,1.32608571428571,"Brassica"
"Brassica rapa","Brassica rapa",0.598333333333333,141.396666666667,135.13456938,3315.66666666667,2.1388,"Brassica"
"Briza media","Briza media",0.165,298.035,26.9652498225,644,0.40112222225,"Briza"
"Bromus arvensis","Bromus arvensis",0.332,271.46,40.63,1085,2.62566666666667,"Bromus"
"Bromus commutatus","Bromus commutatus",0.5,221.25,31.3225,920.875,5.2019,"Bromus"
"Bromus madritensis","Bromus madritensis",0.19,165.83,2.5543175,156.416666666667,2.56333333333333,"Bromus"
"Bromus sterilis","Bromus sterilis",0.375,230.75,15.2497606843333,467.333333333333,7.4854,"Bromus"
"Buddleja davidii","Buddleja davidii",1.83333333333333,229.743333333333,77.285,2971.25,0.0567,"Buddleja"
"Butomus umbellatus","Butomus umbellatus",0.8,120.313333333333,529.97,5805.83333333333,0.1716,"Butomus"
"Cakile maritima","Cakile maritima",0.208333333333333,88.6266666666667,74.94,885.75,22.4189333333333,"Cakile"
"Calamagrostis epigejos","Calamagrostis epigejos",1,400.033333333333,258.194429533333,4994.5,0.0797333334,"Calamagrostis"
"Calendula arvensis","Calendula arvensis",0.15,93.24,40.83,948,3.585,"Calendula"
"Callitriche palustris","Callitriche palustris",0.00875,108.82,0.595,58.125,0.076,"Callitriche"
"Calystegia sepium","Calystegia sepium",1.2875,184,90.88484689,3208,30.272,"Calystegia"
"Calystegia silvatica","Calystegia silvatica",2,224,133.9542354,3092,37.133,"Calystegia"
"Campanula rapunculus","Campanula rapunculus",0.5,162.5,12.06,617.5,0.0333333333333333,"Campanula"
"Campanula trachelium","Campanula trachelium",0.6,159,92.24660086,3601,0.231155555555556,"Campanula"
"Cannabis sativa","Cannabis sativa",1.2,238.99,193.23,4865.875,6.4,"Cannabis"
"Capsella bursa-pastoris","Capsella bursa-pastoris",0.126666666666667,147.3775,60.8887573225,1842.66666666667,0.0985154545454545,"Capsella"
"Cardamine amara","Cardamine amara",0.241666666666667,125.666666666667,48.7516437433333,2515.33333333333,0.258,"Cardamine"
"Cardamine bulbifera","Cardamine bulbifera",0.3975,149.565,52.8925,2207,2.7,"Cardamine"
"Cardamine flexuosa","Cardamine flexuosa",0.216666666666667,129,12.33047046,661,0.122355555555556,"Cardamine"
"Cardamine heptaphylla","Cardamine heptaphylla",0.375,137.07,700,28081.25,6.02,"Cardamine"
"Cardamine hirsuta","Cardamine hirsuta",0.118333333333333,126,11.217289988,337,0.1076,"Cardamine"
"Cardamine impatiens","Cardamine impatiens",0.358333333333333,311,7.080032733,239,0.278133333333333,"Cardamine"
