"","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","sbs_name","genus"
"Acer campestre",3.37380048633865,1.76949091676681,0.775653615688227,0.85081299225259,1.91601235824027,"Acer campestre","Acer"
"Achillea millefolium",0.0206041976686523,0.000830887451958008,-0.305554100490826,-0.444046278252869,-0.973792987142479,"Achillea millefolium","Achillea"
"Aegopodium podagraria",0.34865474817311,0.573202784859967,1.48878874388925,1.40483982584591,0.247834781164309,"Aegopodium podagraria","Aegopodium"
"Aethusa cynapium",0.125644065510028,0.113910727038481,0.551086318680642,0.643900806744725,0.251811433958142,"Aethusa cynapium","Aethusa"
"Agrimonia eupatoria",-0.142093970792452,1.60972943010779,1.27557663366738,1.15744399794098,1.27115476474617,"Agrimonia eupatoria","Agrimonia"
"Agrostemma githago",0.507809761868311,0.260920866808837,0.183842877098917,0.0266176521468403,1.28374482149763,"Agrostemma githago","Agrostemma"
"Agrostis canina",-0.2423347974508,1.11562877087546,-1.5267523330567,-1.40447605255097,-1.38910826620685,"Agrostis canina","Agrostis"
"Aira caryophyllea",-1.19688434718148,1.09365362364542,-1.82679647480595,-2.22594300957687,-1.06948937149921,"Aira caryophyllea","Aira"
"Ajuga chamaepitys",-1.37034651615964,-0.427475553150912,-1.29783910922898,-1.37751472341956,0.0920554261407568,"Ajuga chamaepitys","Ajuga"
"Ajuga reptans",-0.83053880290039,-0.511894744909924,-0.419707345083511,-0.284049669601812,0.181913093974322,"Ajuga reptans","Ajuga"
"Alcea rosea",1.33229134322502,0.236078623310477,1.38593263972987,1.14400815737893,1.04998725498748,"Alcea rosea","Alcea"
"Alisma lanceolatum",-0.325118108671941,-1.19769644667658,0.243368350186946,0.330508023039927,-0.460350697109244,"Alisma lanceolatum","Alisma"
"Alisma plantago-aquatica",-0.166181533250523,-0.84447410360315,1.29733717274255,1.34155721298149,-0.462446966732464,"Alisma plantago-aquatica","Alisma"
"Alliaria petiolata",0.143427908474797,-0.370722086554004,0.85139265610922,1.09459465539834,0.408225818344218,"Alliaria petiolata","Alliaria"
"Allium carinatum",-0.516037793087302,-1.36347997533714,0.0508072109165871,0.157458287534151,0.122204145244207,"Allium carinatum","Allium"
"Allium sphaerocephalon",-0.516037793087302,-0.854744829942043,1.08951203185714,0.377804062859513,0.181085896014786,"Allium sphaerocephalon","Allium"
"Allium ursinum",-0.325118108671941,-1.28735662086146,0.809028037381624,1.03044825623242,0.807444493607153,"Allium ursinum","Allium"
"Allium vineale",-0.415796966428953,-0.223618779694026,0.472273864650914,0.12107544026614,0.965813203884075,"Allium vineale","Allium"
"Alopecurus myosuroides",-0.2423347974508,1.01966272557854,-0.312035224287305,-0.292690565302435,0.366054429717059,"Alopecurus myosuroides","Alopecurus"
"Alopecurus pratensis",0.143427908474797,1.35104837851794,0.0442136513492434,0.0714680838584337,-0.202267135666371,"Alopecurus pratensis","Alopecurus"
"Althaea officinalis",0.585624874346631,0.271376610119116,0.746779392776161,0.769516085877053,0.829370789924591,"Althaea officinalis","Althaea"
"Amaranthus caudatus",0.583963026068588,-0.158232431272175,0.818568007919135,0.776063018411231,-0.194310742346499,"Amaranthus caudatus","Amaranthus"
"Amaranthus retroflexus",0.146945132063845,0.488571694170665,0.960683649445831,0.705387220021788,-0.371288468195724,"Amaranthus retroflexus","Amaranthus"
"Ammi majus",0.0194006454559303,-0.71156330911423,-1.44909832572238,-1.32625363168068,-0.234570301103517,"Ammi majus","Ammi"
"Anemone nemorosa",-0.978835104542791,0.266900605245469,0.57477253675513,0.608975937181003,0.364696536711346,"Anemone nemorosa","Anemone"
"Angelica sylvestris",0.670803519972316,0.454876973902191,1.84770028593004,1.99175671189385,0.423007029499431,"Angelica sylvestris","Angelica"
"Anthemis arvensis",-0.291135642808623,-0.748448954243329,-0.64079008226484,-0.494499172565996,-0.13457842442157,"Anthemis arvensis","Anthemis"
"Anthemis cotula",-0.291135642808623,-1.46381167170211,-0.943785120353824,-1.02189215397179,-0.380151925502598,"Anthemis cotula","Anthemis"
"Anthericum liliago",-0.2423347974508,-0.349413467457946,0.765822399558624,0.664855112244063,0.822027522793339,"Anthericum liliago","Anthericum"
"Anthriscus caucalis",-0.0688726284726471,0.116495035454864,0.533075642737206,0.712199194114066,0.0763168196693665,"Anthriscus caucalis","Anthriscus"
"Anthyllis vulneraria",-0.628097503376397,-0.231436384270666,0.234875494269503,0.0304435093118912,0.564738957447738,"Anthyllis vulneraria","Anthyllis"
