"","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Acer campestre",13.4214285714286,360.5,184.2079463,4741.5,54.3482823529412,"Acer"
"Achillea millefolium",0.3955,185.5,21.7633333333333,411,0.131833333333333,"Achillea"
"Aegopodium podagraria",0.558333333333333,230,753.5581651,13500.242,1.68093333333333,"Aegopodium"
"Aethusa cynapium",0.441666666666667,193.55,118.208577966,3207.7575,1.69492,"Aethusa"
"Agrimonia eupatoria",0.333333333333333,NA,494.5374473,8461,14.178,"Agrimonia"
"Agrostemma githago",0.66,204.54,57.225,999.75,14.554875,"Agrostemma"
"Agrostis canina",0.3,281.985,1.950036232,67,0.0554857142857143,"Agrostis"
"Aira caryophyllea",0.11,279.666666666667,1.078029614,14.2,0.108,"Aira"
"Ajuga chamaepitys",0.0916666666666667,157.93,3.065,70.5,1.215,"Ajuga"
"Ajuga reptans",0.161666666666667,153,NA,556,1.46519,"Ajuga"
"Alcea rosea",1.57,202.64,615,8249,8.94266666666667,"Alcea"
"Alisma lanceolatum",0.275,118.25,64.3655555555556,1774.8,0.3843,"Alisma"
"Alisma plantago-aquatica",0.325,NA,516.259252275,11979.4166666667,0.382625,"Alisma"
"Alliaria petiolata",NA,161.333333333333,213.937010866667,7514,2.348,"Alliaria"
"Allium carinatum",0.225,111.11,44,1280,1.2937777775,"Allium"
"Allium sphaerocephalon",NA,134.51,342.43,1940.63,1.46266666666667,"Allium"
"Allium ursinum",0.275,114.333333333333,196.761776666667,6656.66666666667,5.3948,"Allium"
"Allium vineale",0.25,170.5,101.166029705,1195,7.504,"Allium"
"Alopecurus myosuroides",0.3,272,21.48647482,547,2.15047619042857,"Alopecurus"
"Alopecurus pratensis",0.45,308.06,NA,1088.125,0.658,"Alopecurus"
"Althaea officinalis",0.71625,205.345,173.995,4066.625,5.647,"Althaea"
"Amaranthus caudatus",0.715,174.74,200.505,4117.22,0.669,"Amaranthus"
"Amaranthus retroflexus",NA,222.8025,265.49,3602.75,0.462666666666667,"Amaranthus"
"Ammi majus",0.395,141.943333333333,2.27333333333333,NA,0.615166666666667,"Ammi"
"Anemone nemorosa",0.138333333333333,205,NA,3003,2.1444,"Anemone"
"Angelica sylvestris",NA,220,NA,NA,NA,"Angelica"
"Anthemis arvensis",0.285,139.99,11.2233333333333,373.645,0.7576725,"Anthemis"
"Anthemis cotula",0.285,107,6.168481375,138,0.4542,"Anthemis"
"Anthericum liliago",0.3,162.63,180.665,3337.25,5.56125,"Anthericum"
"Anthriscus caucalis",0.36,193.738,114.076814835714,3649.4,NA,"Anthriscus"
"Anthyllis vulneraria",0.2,170,63.29470563,1007,3.25339166666667,"Anthyllis"
"Antirrhinum majus",0.425,165,26.46061644,303,0.1156,"Antirrhinum"
"Aphanes arvensis",0.085,264,2.341736695,38,NA,"Aphanes"
"Arabidopsis thaliana",NA,103.5,9.642721352,281,0.02088,"Arabidopsis"
"Arabis hirsuta",0.323333333333333,166,15.75671642,374,0.0979076923076923,"Arabis"
"Arabis sagittata",0.425,143.525,15.8725,269.675,0.1,"Arabis"
"Arctium lappa",1.085,195.363333333333,1542.788,25226.8333333333,13.02328,"Arctium"
"Arctium minus",0.7,177.333333333333,4104.936905,117000,12.0397523809524,"Arctium"
"Arenaria serpyllifolia",NA,NA,NA,13.1833333333333,NA,"Arenaria"
"Aristolochia clematitis",0.4,272.3,NA,8534.625,32.43675,"Aristolochia"
"Arrhenatherum elatius",NA,291.316666666667,30.654063375,1223,3.07949333333333,"Arrhenatherum"
"Artemisia absinthium",0.825,220.5,99.43251888,2475.5,0.106057777777778,"Artemisia"
"Artemisia annua",0.95,220.88,30.1675,639.692833333333,0.03,"Artemisia"
"Artemisia vulgaris",1.4,258,255.2913636,3914.42633333333,0.144933333333333,"Artemisia"
"Arum maculatum",0.2425,117.666666666667,317.9066447,10496.6666666667,72.6432533333333,"Arum"
"Asparagus officinalis",0.9,280.26,3.595,27.335,40.8633666666667,"Asparagus"
"Astragalus glycyphyllos",0.575,272.5,115.581532135,2720.5,5.15003333333333,"Astragalus"
"Atriplex prostrata",0.95,144.333333333333,139.77941404,2670.66666666667,2.15622,"Atriplex"
"Avena barbata",0.18,237.666666666667,0.00482,119,7.92272095242857,"Avena"
"Avena fatua",0.75,242,320.3024483,5227.5,22.1845,"Avena"
"Avena sterilis",0.27,NA,17.32,560.75,59.232,"Avena"
"Avena strigosa",1.54,201.94,NA,1978,7.44866666666667,"Avena"
"Baldellia ranunculoides",0.125,139,19.6,427,0.426933333333333,"Baldellia"
"Ballota nigra",0.625,222,NA,717,0.85785,"Ballota"
