"","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Acer campestre",3.37380048633865,1.76949091676681,0.775653615688227,NA,1.91601235824027,"Acer"
"Achillea millefolium",0.0206041976686523,0.000830887451958008,-0.305554100490826,-0.444046278252869,-0.973792987142479,"Achillea"
"Aegopodium podagraria",0.34865474817311,0.573202784859967,1.48878874388925,1.40483982584591,0.247834781164309,"Aegopodium"
"Aethusa cynapium",NA,NA,0.551086318680642,0.643900806744725,0.251811433958142,"Aethusa"
"Agrimonia eupatoria",-0.142093970792452,1.60972943010779,NA,1.15744399794098,1.27115476474617,"Agrimonia"
"Agrostemma githago",0.507809761868311,0.260920866808837,0.183842877098917,0.0266176521468403,1.28374482149763,"Agrostemma"
"Agrostis canina",-0.2423347974508,1.11562877087546,-1.5267523330567,NA,-1.38910826620685,"Agrostis"
"Aira caryophyllea",-1.19688434718148,1.09365362364542,NA,NA,-1.06948937149921,"Aira"
"Ajuga chamaepitys",-1.37034651615964,-0.427475553150912,NA,-1.37751472341956,0.0920554261407568,"Ajuga"
"Ajuga reptans",-0.83053880290039,NA,-0.419707345083511,-0.284049669601812,0.181913093974322,"Ajuga"
"Alcea rosea",NA,NA,1.38593263972987,1.14400815737893,1.04998725498748,"Alcea"
"Alisma lanceolatum",-0.325118108671941,NA,0.243368350186946,0.330508023039927,-0.460350697109244,"Alisma"
"Alisma plantago-aquatica",NA,NA,1.29733717274255,1.34155721298149,-0.462446966732464,"Alisma"
"Alliaria petiolata",0.143427908474797,-0.370722086554004,NA,1.09459465539834,0.408225818344218,"Alliaria"
"Allium carinatum",NA,NA,0.0508072109165871,0.157458287534151,0.122204145244207,"Allium"
"Allium sphaerocephalon",-0.516037793087302,NA,1.08951203185714,0.377804062859513,NA,"Allium"
"Allium ursinum",-0.325118108671941,-1.28735662086146,0.809028037381624,1.03044825623242,0.807444493607153,"Allium"
"Allium vineale",-0.415796966428953,NA,0.472273864650914,0.12107544026614,0.965813203884075,"Allium"
"Alopecurus myosuroides",NA,1.01966272557854,-0.312035224287305,-0.292690565302435,0.366054429717059,"Alopecurus"
