"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"1183",3,"Linaria vulgaris",NA,"Linaria",2,"Linaria vulgaris","Mill.","Linaria",2,"kew-2498895",1,FALSE,0.8,0,NA,NA,NA,NA,"Plantaginaceae",NA,"Linaria vulgaris",NA
"1258",9,"Medicago arabica",NA,"Medicago",2,"Medicago arabica","(L.) Huds.","Medicago",2,"ild-8482",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Medicago arabica",NA
"2099",13,"Vicia ervilia",NA,"Vicia",2,"Vicia ervilia","(L.) Willd.","Vicia",2,"ild-7810",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Vicia ervilia",NA
"1426",16,"Oxalis corniculata",NA,"Oxalis",2,"Oxalis corniculata","L.","Oxalis",2,"kew-2394644",1,FALSE,0.8,0,NA,NA,NA,NA,"Oxalidaceae",NA,"Oxalis corniculata",NA
"2079",20,"Veronica arvensis",NA,"Veronica",2,"Veronica arvensis","L.","Veronica",2,"kew-2454017",1,FALSE,0.8,0,NA,NA,NA,NA,"Plantaginaceae",NA,"Veronica arvensis",NA
"549",25,"Clematis vitalba",NA,"Clematis",2,"Clematis vitalba","L.","Clematis",2,"kew-2726964",1,FALSE,0.8,0,NA,NA,NA,NA,"Ranunculaceae",NA,"Clematis vitalba",NA
"6",30,"Acer campestre",NA,"Acer",2,"Acer campestre","L.","Acer",2,"kew-2615447",1,FALSE,0.8,0,NA,NA,NA,NA,"Sapindaceae",NA,"Acer campestre",NA
"869",32,"Foeniculum vulgare",NA,"Foeniculum",2,"Foeniculum vulgare","Mill.","Foeniculum",2,"kew-2813604",1,FALSE,0.8,0,NA,NA,NA,NA,"Apiaceae",NA,"Foeniculum vulgare",NA
"532",42,"Cichorium intybus",NA,"Cichorium",2,"Cichorium intybus","L.","Cichorium",2,"gcc-37233",1,FALSE,0.8,0,NA,NA,NA,NA,"Compositae",NA,"Cichorium intybus",NA
"1864",44,"Silene latifolia",NA,"Silene",2,"Silene latifolia","Poir.","Silene",2,"kew-2488689",1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene latifolia",NA
"1568",46,"Portulaca oleracea",NA,"Portulaca",2,"Portulaca oleracea","L.","Portulaca",2,"kew-2566490",1,FALSE,0.8,0,NA,NA,NA,NA,"Portulacaceae",NA,"Portulaca oleracea",NA
"644",49,"Cymbalaria muralis",NA,"Cymbalaria",2,"Cymbalaria muralis","""P.Gaertn., B.Mey. & Scherb.""","Cymbalaria",2,"kew-2750549",1,FALSE,0.8,0,NA,NA,NA,NA,"Plantaginaceae",NA,"Cymbalaria muralis",NA
"681",50,"Datura stramonium",NA,"Datura",2,"Datura stramonium","L.","Datura",2,"kew-2757848",1,FALSE,0.8,0,NA,NA,NA,NA,"Solanaceae",NA,"Datura stramonium",NA
"939",52,"Geranium dissectum",NA,"Geranium",2,"Geranium dissectum","L.","Geranium",2,"kew-2823166",1,FALSE,0.8,0,NA,NA,NA,NA,"Geraniaceae",NA,"Geranium dissectum",NA
"537",53,"Cirsium vulgare",NA,"Cirsium",2,"Cirsium vulgare","(Savi) Ten.","Cirsium",2,"gcc-38246",1,FALSE,0.8,0,NA,NA,NA,NA,"Compositae",NA,"Cirsium vulgare",NA
"1782",55,"Sambucus ebulus",NA,"Sambucus",2,"Sambucus ebulus","L.","Sambucus",2,"kew-2486632",1,FALSE,0.8,0,NA,NA,NA,NA,"Adoxaceae",NA,"Sambucus ebulus",NA
"1252",56,"Malva sylvestris",NA,"Malva",2,"Malva sylvestris","L.","Malva",2,"kew-2504118",1,FALSE,0.8,0,NA,NA,NA,NA,"Malvaceae",NA,"Malva sylvestris",NA
"1861",64,"Silene gallica",NA,"Silene",2,"Silene gallica","L.","Silene",2,"kew-2488333",1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene gallica",NA
