"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","seed_number"
"1","Abutilon theophrasti",NA,NA,NA,NA,10.614,NA
"2","Acer campestre",13.4214285714286,360.5,184.2079463,4741.5,54.3482823529412,1548.5
"3","Acer negundo",11.5,NA,NA,NA,41.211,NA
"4","Acer platanoides",26.25,274,NA,5193.76666666667,100.828,1
"5","Acer pseudoplatanus",27.3333333333333,262.5,NA,8365.175,69.200399997,3407
"6","Achillea distans",NA,NA,NA,NA,0.303,NA
"7","Achillea millefolium",0.3955,185.5,21.7633333333333,411,0.131833333333333,8573.36470588235
"8","Achillea nobilis",0.4,NA,NA,NA,0.0633333333333333,NA
"9","Adonis annua",0.175,NA,NA,NA,11.6,22
"10","Aegilops geniculata",0.086,260.666666666667,NA,NA,9.27377777766667,NA
"11","Aegilops neglecta",NA,NA,NA,NA,25.81,NA
"12","Aegopodium podagraria",0.558333333333333,230,753.5581651,13500.242,1.68093333333333,2775.67777777778
"13","Aesculus hippocastanum",20,251.5,NA,6528.7,7708.65,NA
"14","Aethusa cynapium",0.441666666666667,193.55,118.208577966,3207.7575,1.69492,19202.25
"15","Agrimonia eupatoria",0.333333333333333,339.5,494.5374473,8461,14.178,41.5
"16","Agrostemma githago",0.66,204.54,57.225,999.75,14.554875,688.777777777778
"17","Agrostis canina",0.3,281.985,1.950036232,67,0.0554857142857143,385148
"18","Agrostis castellana",0.14,NA,NA,NA,NA,NA
"19","Agrostis stolonifera",NA,273.305,9.4082575675,365.666666666667,0.047775,62463.25
"20","Ailanthus altissima",25.3333333333333,NA,NA,NA,33.58,NA
"21","Aira caryophyllea",0.11,279.666666666667,1.078029614,14.2,0.108,9389
"22","Aira cupaniana",NA,NA,NA,NA,0.051515152,NA
"23","Ajuga chamaepitys",0.0916666666666667,157.93,3.065,70.5,1.215,32
"24","Ajuga reptans",0.161666666666667,153,17.36967841,556,1.46519,9000.22222166667
"25","Alcea rosea",1.57,202.64,615,8249,8.94266666666667,4870
"26","Alisma lanceolatum",0.275,118.25,64.3655555555556,1774.8,0.3843,NA
"27","Alisma plantago-aquatica",0.325,135.03,516.259252275,11979.4166666667,0.382625,63418.6666666667
"28","Alliaria petiolata",0.45,161.333333333333,213.937010866667,7514,2.348,35261.625
"29","Allium carinatum",0.225,111.11,44,1280,1.2937777775,NA
"30","Allium schoenoprasum",0.32,170.58,93.455,556,0.9109,2155.5
"31","Allium sphaerocephalon",0.225,134.51,342.43,1940.63,1.46266666666667,3.75
"32","Allium ursinum",0.275,114.333333333333,196.761776666667,6656.66666666667,5.3948,870.208333333333
"33","Allium vineale",0.25,170.5,101.166029705,1195,7.504,NA
"34","Alnus cordata",NA,NA,NA,NA,2.67,NA
"35","Alnus glutinosa",14.3333333333333,248,NA,3462.95,2.3111,NA
