"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"1919",1,"Spiranthes spiralis","","Spiranthes",2,"Spiranthes spiralis","(L.) Chevall.","Spiranthes",2,"kew-194531",1,FALSE,0.8,0,NA,NA,NA,NA,"Orchidaceae",NA,"Spiranthes spiralis",NA
"1770",2,"Salpichroa origanifolia","","Salpichroa",2,"Salpichroa origanifolia","(Lam.) Baill.","Salpichroa",2,"kew-2579470",1,FALSE,0.8,0,NA,NA,NA,NA,"Solanaceae",NA,"Salpichroa origanifolia",NA
"1183",3,"Linaria vulgaris","","Linaria",2,"Linaria vulgaris","Mill.","Linaria",2,"kew-2498895",1,FALSE,0.8,0,NA,NA,NA,NA,"Plantaginaceae",NA,"Linaria vulgaris",NA
"2083",4,"Veronica cymbalaria","","Veronica",2,"Veronica cymbalaria","Bodard","Veronica",2,"kew-2453766",1,FALSE,0.8,0,NA,NA,NA,NA,"Plantaginaceae",NA,"Veronica cymbalaria",NA
"719",5,"Dittrichia viscosa","","Dittrichia",2,"Dittrichia viscosa","(L.) Greuter","Dittrichia",2,"gcc-16305",1,FALSE,0.8,0,NA,NA,NA,NA,"Compositae",NA,"Dittrichia viscosa",NA
"699",6,"Dichondra repens","","Dichondra",2,"Dichondra repens","J.R. Forst. & G. Forst.","Dichondra",2,"tro-8500937",1,FALSE,0.8,0,NA,NA,NA,NA,"Convolvulaceae",NA,"Dichondra repens",NA
"78",7,"Allium triquetrum","","Allium",2,"Allium triquetrum","L.","Allium",2,"kew-296839",1,FALSE,0.8,0,NA,NA,NA,NA,"Amaryllidaceae",NA,"Allium triquetrum",NA
"990",8,"Helichrysum italicum","","Helichrysum",2,"Helichrysum italicum","(Roth) G.Don","Helichrysum",2,"gcc-34309",1,FALSE,0.8,0,NA,NA,NA,NA,"Compositae",NA,"Helichrysum italicum",NA
"1258",9,"Medicago arabica","","Medicago",2,"Medicago arabica","(L.) Huds.","Medicago",2,"ild-8482",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Medicago arabica",NA
"965",10,"Globularia bisnagarica","","Globularia",2,"Globularia bisnagarica","L.","Globularia",2,"kew-2826667",1,FALSE,0.8,0,NA,"Globularia vulgaris","L.","kew-2826736","Plantaginaceae",NA,"Globularia vulgaris",NA
