"canopy_height_m"	"ldmc_geo_mgg"	"leaf_mass_mg"	"leaf_size_mm2"	"seed_mass_mg"
-1.889	360.4789	184.0711	4740.2437	54.1786
1.6314	185.2518	21.7132	410.9421	-0.1189
0.4833	229.7772	753.5922	13500.0762	-150.1136
-0.4422	193.4831	147.1388	3207.9827	1.9877
2.5974	240.7799	494.4026	8460.8516	62.3331
0.5697	204.3389	57.228	465.1876	14.5086
0.4956	281.9853	72.3896	66.7225	0.0021
0.8383	272.1492	1.0981	14.0481	0.1101
0.587	157.9869	3.1156	1207.8547	1.2306
0.483	174.375	-22.4684	555.8636	1.4065
3.9713	201.9297	615.091	5728.4517	8.8565
-1.2146	118.0703	64.4713	1774.7457	0.7018
0.4575	71.4008	516.1387	11979.5977	-138.752
0.3334	161.0716	213.9843	2905.7068	2.3956
0.144	111.3754	44.1855	4757.126	1.5069
-0.3011	134.6777	342.2441	4752.1938	1.4508
0.0767	114.4907	196.6893	6656.8999	5.4704
0.0166	170.5298	101.2033	4752.1235	7.5095
0.7752	272.0533	21.5406	546.7295	2.1731
0.7886	269.3202	66.4889	1087.8615	0.5967
4.2191	187.0958	173.9401	4066.7168	5.5746
1.1432	170.1068	200.8245	4117.1172	0.7816
0.976	222.6347	330.3638	3602.2192	0.4203
0.6731	142.2176	557.2896	11611.6426	0.6982
-2.5911	205.6141	400.9852	3006.7703	2.4102
0.5813	219.8499	603.8727	11601.4131	-96.0206
1.3205	139.9434	60.6945	373.7987	0.7411
1.8665	106.9548	6.1703	4234.7012	0.3763
1.2132	162.8281	180.8033	1162.1479	5.6688
-0.469	193.8649	114.4087	3649.5466	94.2225
0.78	224.7751	63.3428	1006.7471	3.3141
0.2192	164.967	26.4666	1095.9489	0.0981
1.289	385.4566	1.8788	37.6263	23.9066
0.628	103.5921	9.6192	2936.752	0.0675
0.6598	165.6951	15.7828	2926.9861	0.1438
0.6716	143.5851	15.8204	2929.1287	0.1331
1.5876	156.5149	1543.1976	25228.7637	13.7953
-1.9819	177.9907	4105.3989	11366.749	11.812
0.5149	178.1285	20.9047	12.9696	1.3616
-1.1574	-794.714	-19881.6914	8535.2266	31.5584
0.8447	291.2886	30.6479	1301.3629	3.0536
2.1271	242.8232	99.1093	2475.5112	-0.0013
1.9622	220.8493	29.9969	639.7013	37.2731
2.4112	257.8925	254.6935	3914.4314	-0.097
1.8118	118.2741	4132.9683	10497.4307	74.0302
1.1947	280.0822	3.5389	27.0671	-8.6863
0.8304	272.2579	225.8253	2720.1865	5.0808
1.2534	142.0253	139.9355	2670.5913	2.2038
1.1005	237.6632	0.2308	1652.6504	8.0085
1.3018	242.1027	180.7568	5227.3086	22.0842
1.1047	236.977	17.3128	561.4661	59.2335
0.889	201.9618	227.0928	1978.0912	7.3666
-0.1454	165.2515	18.8887	426.4686	0.2201
0.4525	221.9984	98.9835	716.8511	0.7846
0.4328	142.0315	150.1719	2932.551	0.5918
1.4903	113.4516	11.7049	359.1804	0.1018
0.7149	96.6796	550.5405	11617.5811	0.8999
0.3899	166.9552	751.6726	1970.3303	20.2779
2.2569	174.5854	110.4552	4176.1182	8.6752
2.1912	152.2797	74.8486	2417.7129	2.5864
