"canopy_height_m"	"ldmc_geo_mgg"	"leaf_mass_mg"	"leaf_size_mm2"	"seed_mass_mg"
1.1476	0.1853	0.3183	0.775	0.3699
0.5388	0.3156	0.1349	0.1141	0.2737
0.8828	0.3276	0.2566	0.6514	43.1613
2.0537	0.6143	200.1973	0.1278	0.7113
1.2054	127.5235	0.3033	0.2771	371.8679
0.223	0.3074	0.1105	23.4477	0.1188
0.8037	0.121	25.7062	0.2497	0.2015
0.3143	11.562	0.1116	0.1539	0.1477
0.3045	0.1147	0.1156	46.0743	0.1213
0.3851	13.8827	42.5672	0.1455	0.157
1.5348	0.4337	0.1698	111.7015	0.1355
1.7883	0.4947	0.1446	0.2905	0.1986
0.9021	84.9653	0.2874	0.2179	376.4301
0.805	0.1933	0.1105	106.3758	0.1053
1.1894	0.2507	0.2232	174.5396	0.1346
1.6086	0.1907	0.4146	176.234	0.1762
1.2576	0.186	0.388	0.3346	0.1608
1.4082	0.196	0.1246	174.2715	0.2393
0.5867	0.1323	0.1036	0.2296	0.1196
0.5143	8.4285	11.59	0.2086	0.1531
1.9	33.4928	0.2518	0.3384	0.1751
0.5654	26.8627	0.234	0.1152	0.1184
0.2432	0.2221	24.5326	0.6405	0.1197
0.6739	0.2871	127.4788	334.9658	0.1947
0.5019	0.6406	85.354	2.0723	0.3849
0.8336	0.2791	112.101	336.1557	42.0069
0.6453	0.1184	66.1912	0.1647	0.2156
0.6811	0.2211	0.1235	73.461	0.2783
0.5786	0.1481	0.1465	66.2738	0.1263
1.7595	0.8882	0.3276	0.1317	532.4363
0.3257	5.2336	0.1191	0.2157	0.1025
0.3064	0.1342	0.1034	77.2262	0.109
0.4819	47.8519	0.5595	0.2919	229.2086
0.517	0.1419	0.1909	85.1157	0.14
0.5411	0.3173	0.1029	90.1307	0.0995
0.5172	0.1007	0.1973	89.6813	0.1483
3.2636	56.588	0.3887	1.3917	0.7347
5.7519	0.5016	0.8371	1030.9327	1.0321
0.2207	8.311	14.3902	0.1733	37.6592
1.7348	1532.0612	7793.0029	0.8158	0.346
0.3788	0.1211	0.1267	66.4815	0.1585
0.4862	33.1393	0.3185	0.1282	0.1937
0.3708	0.1484	0.3791	0.1233	188.4725
0.6536	0.1731	0.5455	0.114	0.2986
2.5256	0.7407	1463.2985	1.066	2.4703
0.4745	0.1929	0.155	0.2112	120.574
0.1971	0.168	23.2688	0.2421	0.1204
0.4595	10.9908	0.1864	0.1234	0.1072
0.3961	0.1307	0.1598	141.3801	0.122
0.5948	0.2027	32.3781	0.1954	0.213
0.4265	13.1414	0.1559	0.1623	0.1291
0.2944	0.1095	16.3027	0.3659	0.1336
0.5096	39.4486	0.8715	0.3179	0.6804
0.6115	0.1112	26.9537	0.1432	0.2346
0.6857	5.2776	0.2312	84.9862	0.1517
0.4969	0.3478	0.1397	0.1891	0.1559
0.7206	0.185	128.5526	334.1186	0.1761
0.4463	0.114	0.1399	95.5038	0.107
0.7298	0.1421	0.1291	0.1797	0.1686
0.757	0.1517	0.1955	0.4642	0.1676
0.3953	0.2685	35.1038	0.1829	0.1629
0.4792	0.6698	93.7084	0.1662	0.1068
0.2589	0.2764	0.1173	0.2186	103.7242
1.4003	30.8427	0.1486	0.5822	83.6085
1.3986	0.1663	0.1906	0.3648	83.4914
0.354	8.6318	0.1021	0.2651	0.14
0.3296	25.3976	0.1354	0.2335	0.1576
0.3349	26.1217	0.1277	0.2324	0.1481
0.3137	32.9901	0.1597	0.2468	48.048
0.3924	28.2357	0.1421	0.2248	0.1156
1.9995	184.826	0.3656	0.4739	0.4365
10.0083	1.3688	1.3211	0.6969	552.5789
0.5217	0.1527	0.1827	100.366	0.1412
0.6271	60.8183	38.5654	0.2343	0.2025
0.3282	0.2523	43.2477	0.3356	0.1946
0.1872	0.2638	0.1121	72.7431	25.8777
1.0298	13.1756	0.131	0.4444	0.2973
1.0046	0.2191	0.1274	0.4331	0.2864
0.3865	0.1337	0.1269	0.1669	52.1769
0.5624	0.2914	0.1386	0.1673	141.4939
1.3397	0.163	0.268	0.1642	0.1118
0.5901	0.1234	0.1215	0.2585	39.1294
0.5035	16.0023	26.405	0.1324	43.9247
0.3974	12.1393	15.6465	0.1395	0.1224
0.5168	11.6617	0.109	95.062	0.101
0.9652	0.1468	0.6039	98.6493	0.2531
0.5762	0.1875	0.1402	98.5072	0.1085
0.4412	0.2796	0.1281	0.6881	115.6452
0.4065	17.8085	0.1455	0.7611	0.1491
0.2886	21.1735	0.2087	0.4101	0.2217
0.7779	0.1508	0.1477	0.1926	8.4658
0.7979	0.1214	0.1481	53.7811	0.1199
0.7184	0.1374	0.2286	0.1877	99.6112
0.6931	23.8269	0.2876	0.1988	113.4268
0.8485	0.1398	18.5465	0.2002	0.1258
0.7456	13.8364	0.2093	0.1784	57.9057
0.6495	0.1694	0.1597	51.5216	0.133
0.7447	0.122	0.1329	53.2086	0.1323
0.7083	0.131	0.2312	0.1941	118.1005
0.8182	0.114	0.2388	0.1961	0.1214
0.759	8.7581	0.1679	0.1801	0.1121
0.7769	0.197	0.3367	0.1665	78.7975
2.7676	0.4393	84.0712	0.3105	0.3763
0.7649	0.1019	0.2019	50.2229	0.125
0.8121	0.1121	0.1053	0.6897	0.1976
0.744	0.1057	0.1157	50.1812	0.1705
0.9142	0.2132	16.7101	0.1585	0.1487
1.9705	0.4157	0.2916	3.616	0.5571
0.9224	0.2539	0.2499	0.1491	15.6055
0.6567	25.5975	0.289	0.2048	122.2228
1.2402	1.1553	0.332	0.1452	66.0023
0.8224	0.1957	0.1286	0.1925	0.1591
0.7679	10.2621	13.7034	0.1857	0.1317
0.2487	0.1212	0.1752	127.9951	0.1009
7.2398	0.4811	223.1948	309.0195	270.0776
0.4621	0.1618	29.8511	0.2459	0.1209
0.5292	16.161	0.3282	63.0051	0.22
0.8537	0.1482	41.8456	0.1529	0.2061
0.2912	30.156	0.1498	0.1417	0.1815
0.4019	0.1057	0.1222	29.5528	0.1821
0.4181	3.2148	0.1075	0.2045	0.1704
0.6434	0.2064	0.2908	0.1621	60.8499
0.968	67.9625	0.1962	0.2973	0.1534
0.2042	0.0986	6.3873	0.1051	0.1179
0.2802	0.1693	8.2482	18.6866	0.1527
0.196	0.1124	0.1291	18.0734	0.1309
1.9315	70.063	0.3536	1.0145	0.8032
2.1261	0.9039	70.7774	0.194	0.3796
0.8323	0.2201	0.6333	171.7383	47.4433
0.2338	0.0999	0.1326	56.6085	0.1014
0.6646	0.2138	0.1552	0.2108	0.1433
1.5091	75.0392	0.2299	1.3971	0.5305
0.2551	0.1028	0.1036	0.2172	0.1077
1.6273	0.3594	0.1227	227.3994	0.2435
1.4694	0.9534	0.2391	0.2557	225.5892
2.7485	0.9432	0.1758	0.354	0.261
0.6663	0.1572	21.7273	0.1664	31.8962
9.5681	4.5298	0.6894	0.55	0.7597
0.9754	0.331	61.9839	0.1613	0.3533
1.7436	1.9267	0.3906	0.1936	643.5405
4.7213	233.6311	0.3955	825.7768	0.1854
0.5666	0.2552	0.3387	68.6484	0.25
1.7066	0.2129	21.6491	0.213	0.2662
1.3686	0.2167	0.2145	0.7249	0.2125
1.2738	0.1569	0.2145	0.8645	0.2148
1.1849	0.1789	0.1638	315.329	0.5084
0.3188	0.1211	0.1109	0.2195	0.1376
0.2631	0.1482	0.1383	0.1243	53.4478
0.4758	0.2147	0.212	0.329	27.4683
0.3158	0.1113	18.9348	0.2391	0.1442
1.4424	10.9579	0.1707	0.2179	30.2501
0.4514	5.0853	13.0996	0.2311	0.1752
0.4777	0.1983	12.3348	0.2016	0.19
0.5941	128.6312	0.1378	0.1768	0.1654
0.6337	126.6105	0.1237	0.3656	0.2524
0.6368	0.1626	0.1551	167.6546	0.105
0.416	0.181	0.1303	70.2951	0.176
0.6119	23.2036	0.1709	0.4117	101.2933
0.521	0.2404	0.1522	58.0161	0.181
0.3933	7.0373	0.11	58.2911	0.1291
0.4637	0.1207	0.253	0.1222	78.5931
0.4462	9.2888	0.1387	0.1174	0.2908
1.455	0.1417	0.3244	143.5949	0.1341
0.3856	0.1889	9.6785	0.1702	25.6885
0.3924	4.6875	10.3539	10.5645	25.9352
0.4388	0.1821	0.1189	0.4047	72.022
0.6532	15.7543	0.1299	0.2071	0.1567
1.6574	0.2316	0.1638	0.4551	0.1227
0.3531	11.7139	0.098	0.2782	0.1514
0.451	0.1129	15.7193	0.1442	34.9008
0.3175	8.7071	0.1015	0.1986	0.154
0.3889	0.1066	0.105	0.2249	12.3403
0.5816	10.3972	0.1132	0.2036	0.0987
0.5488	0.1191	0.1373	0.2086	62.0225
0.3334	0.1035	0.1254	47.112	17.4643
0.4941	0.198	0.1301	49.4247	0.2076
1.1493	0.2577	117.1472	353.1339	76.6603
2.1529	89.3935	0.2999	0.1381	0.4236
0.2119	0.138	0.1608	128.25	0.1098
0.3102	0.5411	0.1093	0.2179	0.1429
0.4012	0.1271	14.1514	0.2037	0.1583
0.4526	0.1236	0.1067	0.1799	0.1276
0.4558	0.1211	0.1361	0.1764	25.2487
0.4575	5.8393	0.1134	0.164	0.1352
0.4841	4.9006	9.9681	0.1842	0.1503
0.5526	0.1643	7.7296	0.1706	25.595
2.9906	0.9378	0.2462	0.4806	0.612
2.3013	0.5199	0.2854	173.9542	0.6976
0.1548	0.7323	0.1328	169.235	0.1569
0.3415	25.4557	0.2474	0.2325	0.1385
0.8729	40.1436	0.6081	353.956	0.228
0.3858	0.1766	47.2036	0.2677	0.1525
1.0516	0.1853	0.1784	327.6891	0.1142
1.616	0.302	0.4465	1.5651	169.9512
1.4376	27.2467	77.5846	0.2374	0.5083
0.397	0.1911	36.6783	53.2649	0.1158
0.412	0.1874	0.1084	0.1517	26.9648
0.3236	0.1253	0.1041	0.167	0.1322
0.2909	0.1058	5.9212	0.1735	0.1481
0.261	0.1111	11.039	0.1587	13.2048
0.3073	4.5185	0.106	0.1695	0.141
0.266	0.1371	0.1231	0.1978	0.164
0.7264	0.2814	0.1791	0.3189	0.1681
0.5099	0.1549	13.3355	0.2448	0.1234
0.4369	0.2092	16.0707	34.8783	0.1322
0.3692	4.3181	0.1012	0.1663	0.1263
0.3821	0.1107	0.1207	0.1575	22.1077
0.3841	0.1051	6.471	0.1109	0.1281
0.4349	5.1995	0.1063	0.3205	26.2605
0.414	0.1182	0.1173	35.0353	0.1205
0.3779	3.741	0.0985	0.1552	0.136
0.4221	5.2281	9.0807	0.3229	0.1636
0.1619	0.3169	0.1387	0.1882	67.7668
0.7605	0.1488	0.2575	0.141	0.4612
0.3337	0.1477	0.1205	0.1403	0.326
0.3731	0.1078	0.1044	0.2496	17.9429
0.6056	8.6043	0.1168	45.4171	9.6688
0.3474	0.1468	0.1556	71.946	0.1334
0.3713	0.1875	54.9707	0.1875	0.1616
1.1999	0.4162	0.1392	0.6143	0.1954
2.6123	0.9123	0.3253	198.6235	0.6126
0.274	0.2489	13.0768	30.7132	17.7017
0.7423	11.6067	0.2761	0.1558	0.1631
0.864	0.1351	0.243	88.2726	0.1724
0.3261	0.1228	0.1608	61.1045	17.7305
0.426	0.2937	0.1502	0.1984	22.9996
0.4552	0.3989	10.2135	0.192	0.1631
0.5127	0.1794	0.1408	0.1912	28.8658
0.5366	12.87	0.1252	0.1951	0.1555
0.5728	0.196	19.0885	0.3779	57.3507
0.9548	0.1508	0.3258	0.1365	156.6914
0.7873	1.3249	0.1632	147.0836	0.2194
1.7694	0.2892	0.207	0.1512	0.3092
1.1994	0.1978	0.3786	0.1603	66.0155
0.3559	0.4544	9.156	0.1978	17.4956
0.3458	7.4801	0.1022	0.1734	10.8314
0.4054	0.1238	14.3202	0.2345	11.7442
0.3493	7.6961	0.1201	27.2063	8.7906
0.351	7.1867	0.1357	0.2226	0.223
0.2862	0.4248	0.3549	0.2599	182.6525
0.9083	0.1408	0.2817	0.1613	135.5877
6.0099	0.4296	0.4208	1.4584	0.7297
0.5794	8.1367	0.1987	103.4371	0.1425
0.4411	0.1448	0.1428	0.1644	38.4153
0.2014	0.1115	10.1013	0.1959	0.1039
0.1733	0.114	0.1348	0.1269	0.1071
0.1282	0.1787	0.1204	33.8899	0.121
0.5403	0.4677	0.1514	41.9335	0.1713
0.3024	0.2024	0.1088	0.2177	0.3156
0.4583	0.3117	21.2562	38.3623	0.1676
0.3822	2.0877	0.1248	0.189	0.1386
0.2523	10.7509	28.3311	0.1905	63.2348
0.2604	0.2423	11.0435	0.1608	0.1382
0.2947	1.0111	0.1983	0.1484	0.1738
0.6554	0.1508	0.1058	0.2007	0.1315
0.2776	0.1774	37.9596	0.1458	0.1924
0.6851	0.2017	0.1296	0.1293	0.309
0.3399	0.1993	33.6119	75.325	0.2278
0.4665	27.1693	0.1333	0.15	0.1475
0.2691	21.3016	0.1087	0.1288	0.2294
0.2913	0.6647	0.1299	28.626	0.1254
0.4633	0.1557	0.1709	123.5053	0.1029
0.4346	0.1187	0.1643	51.1757	0.1177
0.3275	0.1341	0.2068	0.2056	16.6816
0.325	0.144	13.5019	48.7931	0.1066
