"canopy_height_m"	"ldmc_geo_mgg"	"leaf_mass_mg"	"leaf_size_mm2"	"seed_mass_mg"
2.4545	1.7458	0.7705	0.877	1.9337
0.0153	0.0083	-0.3362	-0.4336	-0.3343
0.3443	0.5624	1.4896	1.4356	0.263
0.1183	0.11	0.5214	0.6679	0.2591
0.9713	1.3464	1.2679	1.203	1.2864
0.4999	-0.7692	0.1515	0.0568	1.2959
-0.252	1.1011	-1.5736	-1.3594	-1.379
-1.1887	1.1643	-1.9298	-2.2193	-1.0612
-1.3641	-0.4205	-1.4831	-1.3594	0.0875
-0.9727	-0.5053	-0.4698	-0.273	0.1861
1.3118	0.2471	1.3706	1.2143	1.0631
-0.3316	-1.1817	0.2322	0.3574	-0.5036
-0.0673	-1.0497	1.2973	1.3817	-0.452
0.317	-0.3604	1.1191	1.1217	0.4232
-0.5181	-1.3375	0.4346	0.1736	0.1509
-0.3778	-0.5665	1.056	0.4337	0.2046
-0.3178	-1.2648	0.7933	0.5206	0.8028
-0.4096	-0.2291	0.4826	0.1174	0.2078
-0.2403	1.0001	-0.3319	-0.2811	0.362
0.1382	1.3459	0.024	0.0822	0.11
0.5784	0.2731	0.7345	0.6577	0.8437
0.5697	0.2416	0.8313	0.7937	-0.1837
0.5488	0.4844	0.9545	0.6834	-0.353
-0.0033	0.0093	-1.4893	-1.1202	-0.2114
0.3313	0.2675	0.7501	0.6292	0.3778
0.2949	0.4469	0.5755	0.648	0.4192
-0.1575	-0.7397	-0.6582	-0.4983	-0.125
-0.3062	-1.4147	-1.0141	-0.993	-0.1588
-0.242	-0.356	0.7646	0.6937	1.9573
0.2387	0.1182	0.5325	0.7351	0.3852
-0.2222	-0.2168	0.1924	0.0665	0.5878
0.0736	-0.3071	-0.5305	-0.5958	-1.0256
-0.1773	0.9507	-1.5092	-1.6951	0.646
-0.663	-1.5369	-0.7569	-0.6347	-0.0804
-0.1748	-0.3074	-0.4247	-0.4846	-1.1049
-0.5299	-0.6712	-0.5115	-0.6485	-1.0937
0.9697	0.1269	1.8622	1.753	1.2169
