"canopy_height_m"	"ldmc_geo_mgg"	"leaf_mass_mg"	"leaf_size_mm2"	"seed_mass_mg"
3.2848	1.7416	0.6846	0.9005	1.9243
0.0248	0.0033	-0.3466	-0.4251	0.204
0.339	0.5679	1.4773	1.443	-0.3569
0.8456	0.1149	0.5563	0.6556	0.2694
-0.4426	2.8121	1.2616	1.1994	1.2741
1.2376	0.2623	0.1515	0.0615	1.293
-3.5335	1.0915	-1.5444	-1.4477	-1.3635
-1.1768	-2.9245	-1.9131	-2.2171	-1.065
-1.3489	-0.4167	-0.5394	-1.3811	0.0956
-0.8149	0.6246	0.2742	-0.2718	0.1916
1.2991	0.2385	1.3581	1.205	0.0606
0.604	-1.1707	0.2189	0.3398	-0.4459
-0.9927	1.8608	1.2922	1.3733	-0.4491
-0.9445	1.6428	0.8588	1.1051	0.4193
0.5796	-1.3341	0.0397	0.1901	0.1291
1.4747	0.6619	1.0202	0.4621	0.2055
2.5398	-1.2526	0.8075	1.0537	0.8144
-0.407	-0.2154	0.4441	-0.4525	0.9714
-0.2392	0.4633	-0.3261	-0.2847	0.3723
0.1376	1.3309	0.0669	0.678	-0.1913
1.5787	0.2754	0.7391	0.7955	0.8341
0.5665	-0.1562	0.7993	0.8051	-0.3697
0.0041	0.6669	0.9243	0.7453	-0.3554
0.4351	-0.6983	-1.4821	-0.1718	-0.2365
0.1872	0.2657	-0.5325	0.633	0.3761
-0.3911	0.4435	0.3595	-1.0195	0.6928
-0.2884	-0.7278	0.2135	-0.4912	-0.1266
-0.2896	-1.4362	-1.0006	-1.0083	-0.1486
-0.235	1.4954	0.7429	0.6928	0.8379
-0.07	0.1163	1.2096	0.7316	-0.7811
-0.6164	-0.2254	-0.5341	0.0389	0.5757
-1.5303	-0.3008	-0.2709	-0.5595	-1.0248
-1.41	0.9256	-0.3259	-1.7198	0.1847
-1.7331	-1.5238	-0.0587	-0.6444	-1.8411
-0.182	-1.0363	-0.4977	-0.5013	-1.0999
0.0753	-0.6679	-0.484	0.1337	-1.0948
3.2261	0.1391	1.8324	1.7902	1.2447
0.5561	3.16	2.3697	2.5837	1.2073
1.1985	-0.8938	-2.7218	-2.2853	1.2382
0.8735	1.0077	-0.8192	1.1908	1.681
1.8792	-1.0124	-0.132	0.1207	0.5438
0.6992	-0.5138	0.4593	0.5124	-1.0579
0.8285	0.4618	-0.1568	-0.1962	0.6325
1.1957	0.8667	0.9285	0.7862	0.4512
-0.432	-1.1839	-3.2637	1.3026	2.0526
0.7731	1.0862	-1.3001	-1.8405	1.5157
0.3671	1.0109	0.1062	0.5717	0.789
0.8284	-0.6517	-0.8122	0.5805	0.3772
-0.7252	0.6532	-0.4811	-1.102	0.9961
2.7686	0.6993	1.0329	0.9517	1.5007
-0.347	-0.4766	-0.4329	-0.2889	-0.1135
0.8757	0.2253	0.0125	0.4095	0.9695
-1.0577	-0.2342	-0.3941	-0.4049	-0.3951
0.4395	0.4641	0.1284	-0.1323	0.326
-0.0848	1.5965	0.647	1.3043	-0.2311
-0.388	-1.2796	-0.6523	-0.5177	-0.922
0.1896	0.5358	0.6952	0.5442	-0.1546
1.1934	-0.2703	1.4783	0.0248	1.457
0.2826	-0.1452	-1.6021	0.8027	1.0381
0.2802	-0.5047	0.3187	0.496	-0.183
-0.5188	0.4788	-0.4143	1.0418	-2.2421
-0.2018	2.0456	0.6699	0.7749	1.3306
0.686	-0.755	-0.2443	0.6556	0.4987
-1.0593	1.6468	0.9426	1.0772	0.1183
0.3985	-0.6945	0.6	0.0414	0.3725
-0.7976	1.2388	0.9018	-0.1931	-0.4328
-0.1446	1.1782	-0.0107	0.0808	0.6166
0.2372	0.4721	-0.1462	-0.2945	0.8051
-0.745	-0.6893	-1.3814	-0.9931	0.453
-0.0332	0.5751	-0.51	-0.7284	0.9679
-1.4403	0.5577	0.3435	0.5801	-1.3535
0.6447	-1.1206	-0.08	0.9772	-0.8291
-0.582	-1.9161	-2.8422	-0.0299	1.4847
0.8817	0.8826	0.9321	0.9106	0.5081
-0.8804	-1.7891	-1.5886	0.0099	0.6215
-3.5441	-1.3956	-1.7136	-5.2314	1.9006
1.1136	-0.0157	0.408	-0.5759	1.6312
1.5163	0.4995	0.6156	0.6411	0.7928
0.2293	-0.3451	1.6366	-0.2188	-1.6146
0.403	-0.1654	0.4441	0.7013	-0.1057
1.0502	0.6734	0.7866	0.4644	0.9011
-1.0462	-0.1412	0.1989	0.3559	-1.0893
0.6346	-1.0158	0.4221	0.5331	-0.1964
0.0334	-0.5564	-0.0511	-0.0103	0.486
-0.5441	-0.3103	0.876	-0.1845	-0.9932
0.0477	-0.7843	1.4377	-0.2174	0.8689
-1.1047	-0.7874	-0.6656	-0.546	-1.0624
-0.0828	1.3472	-0.9006	0.2079	-0.6058
-0.1967	-2.8698	-1.4192	-1.3632	-1.0631
-0.0214	-0.9606	0.952	0.883	-1.06
0.0487	0.0217	0.5828	0.5329	-0.3957
0.6163	1.5298	1.1662	1.091	-0.0523
-1.598	1.34	-0.453	-0.4796	0.1341
0.1735	1.0276	-0.5053	0.5422	-0.4342
-1.0125	1.2829	-0.5679	-0.6724	0.1874
0.3741	-1.4872	0.0184	0.2146	-0.7901
-0.4087	1.7729	-0.5189	-0.7662	0.6764
0.7905	0.5904	0.9336	0.6059	-0.1245
-0.9796	1.4393	-0.7024	-1.1336	0.5727
-0.3568	1.5323	-0.0889	-0.2078	0.0144
0.1392	0.7625	0.2984	0.333	0.504
-0.1631	0.9243	-0.5341	-0.0982	0.1176
1.2991	1.275	1.6233	1.415	-0.1367
-1.2654	-0.3005	-0.7139	-1.0567	0.1018
-0.3547	1.3321	0.6962	0.7339	-0.1348
-0.9558	0.0154	-0.2149	-0.1132	0.0085
0.1341	0.8226	-0.5853	-0.583	0.7531
0.9338	1.4677	0.6506	1.4596	0.3468
0.2365	0.0534	0.3006	0.146	0.0896
1.0371	-0.5434	-0.4805	-0.5587	0.4289
0.4383	-2.2305	0.3295	0.4902	-1.5041
-0.6753	1.4528	-0.1606	-0.1849	0.2556
0.3236	-0.221	-0.2607	0.1503	0.1676
-0.1976	1.8416	1.0977	0.8328	0.6802
-0.7664	0.8723	0.7096	0.483	-0.5516
0.2236	-0.6256	0.6074	-0.6074	1.5667
