"canopy_height_m"	"ldmc_geo_mgg"	"leaf_mass_mg"	"leaf_size_mm2"	"seed_mass_mg"
3.8718	0.0947	0.0919	0.0901	0.1016
0.095	0.0937	0.095	0.0884	0.4395
0.0922	0.101	0.0975	0.2687	0.0899
0.0954	0.0975	0.2703	0.1007	0.0934
0.5236	0.5416	0.0883	0.0845	0.1001
0.0937	0.5156	0.094	0.0966	0.0947
0.0955	0.0924	0.0964	0.2504	0.0944
0.0921	0.5341	0.0902	0.0925	0.1014
0.0896	0.1023	0.2763	0.0985	0.0981
0.4207	0.0955	0.2763	0.0989	0.0948
0.094	0.6477	0.0957	0.0943	0.0904
0.0965	0.0948	0.0946	0.0912	0.3739
0.4123	0.5032	0.0866	0.092	0.1001
0.5243	0.1001	0.2649	0.0927	0.0954
0.0979	0.0953	0.2349	0.0979	0.0954
0.4342	0.4921	0.0852	0.0882	0.0928
0.0971	0.098	0.0981	0.2227	0.0946
0.0963	0.0962	0.0915	0.0846	0.3766
0.0947	0.0936	0.2572	0.093	0.1015
0.0938	0.0885	0.273	0.1053	0.4805
0.0976	0.0996	0.0958	0.2636	0.0941
0.1	0.4691	0.0848	0.0941	0.0942
0.458	0.0976	0.0969	0.2492	0.0926
0.097	0.5599	0.0926	0.2853	0.0931
0.5056	0.1001	0.2713	0.0969	0.0974
0.5906	0.0913	0.7202	0.6994	0.5189
0.4041	0.0954	0.091	0.0884	0.0958
0.094	0.0962	0.0899	0.0878	0.4024
0.0978	0.1005	0.0837	0.0896	0.4863
0.5163	0.0932	0.086	0.0894	0.4851
0.4867	0.0972	0.0853	0.0897	0.0938
0.0951	0.0945	0.2706	0.1016	0.0969
0.5059	0.1001	0.0917	0.0937	0.5144
0.5227	0.098	0.092	0.0927	0.4743
0.0974	0.0949	0.2413	0.0977	0.0936
0.4815	0.1042	0.0921	0.0838	0.0987
0.096	0.0988	0.1083	0.2511	0.1
0.0936	0.0941	0.0987	0.2543	0.0886
0.5252	0.6269	0.3101	0.099	0.4957
0.0986	0.0982	0.9068	0.097	1.9304
0.5202	0.0914	0.2669	0.0981	0.0961
0.0944	0.1055	0.0917	0.0897	0.3897
0.0953	0.0942	0.0868	0.0896	0.3919
0.093	0.1026	0.0971	0.2125	0.0996
0.0964	0.0916	0.0952	1.3646	0.0967
0.0917	0.5439	0.0967	0.0931	0.0905
0.0966	0.0948	0.2655	0.1012	0.0903
0.0897	0.1009	0.2952	0.0972	0.097
0.0926	0.5919	0.0932	0.0908	0.097
0.0968	0.0938	0.0989	0.2356	0.0909
0.096	0.4477	0.0902	0.0869	0.4084
0.0898	0.0949	0.2613	0.1031	0.425
0.0918	0.5948	0.089	0.095	0.1
0.1001	0.0993	0.2715	0.0996	0.5029
0.0981	0.5972	0.0987	0.2682	0.5217
0.0974	0.5011	0.0897	0.0925	0.0896
0.0987	0.0953	0.1004	0.2567	0.4593
0.095	0.0972	0.3118	0.0975	0.0922
0.0969	0.5341	0.0896	0.0907	0.0952
0.0977	0.5235	0.0859	0.0927	0.0922
0.0889	0.1004	0.3032	0.0975	0.0988
0.0945	0.5381	0.0934	0.0938	0.1
0.0962	0.0946	0.2627	0.0936	0.0999
0.4443	0.5143	0.0901	0.0939	0.4539
0.0977	0.0977	0.0897	0.2234	0.0992
0.097	0.0937	0.2598	0.0934	0.0998
0.4348	0.5383	0.095	0.0909	0.09
0.0989	0.4886	0.091	0.0935	0.0971
0.0958	0.5441	0.0982	0.2688	0.1005
0.0956	0.5321	0.0937	0.0943	0.0911
0.0975	0.0955	0.0882	0.0923	0.4835
2.63	1.8443	0.0941	0.1012	0.0984
0.5179	0.0967	0.0896	0.0872	0.097
0.5541	0.5874	0.0916	0.088	0.0945
0.5183	0.0925	0.0919	0.0916	0.0943
0.0982	0.0968	0.629	0.6029	0.4825
0.4223	0.0919	0.0944	0.0849	0.0902
0.096	0.4914	0.0934	0.0911	0.0962
0.1	0.0972	0.2362	0.0967	0.0983
0.0958	0.4732	0.091	0.0972	0.4387
0.0963	0.0996	0.0981	0.2902	0.0934
0.1021	0.0948	0.2771	0.0994	0.0966
0.0962	0.4954	0.2406	0.0994	0.402
0.4074	0.0948	0.2433	0.0951	0.0961
0.4631	0.4524	0.0902	0.088	0.0944
0.4588	0.0969	0.0953	0.2698	0.0915
0.0976	0.4576	0.0899	0.0959	0.1006
0.0968	0.095	0.2295	0.0988	0.0988
0.0952	0.4616	0.1001	0.2524	0.0987
0.4794	0.092	0.0929	0.27	0.0978
0.4045	0.0988	0.0892	0.0894	0.3944
0.0938	0.1038	0.2303	0.0903	0.0948
0.0936	0.0937	0.2356	0.0945	0.091
