"canopy_height_m"	"ldmc_geo_mgg"	"leaf_mass_mg"	"leaf_size_mm2"	"seed_mass_mg"
0.1022	0.0963	6.4533	0.0994	0.0961
0.0977	0.097	0.0902	0.0927	2.3967
0.0969	0.0993	0.0914	0.0874	3.3434
6.7779	0.1047	0.0955	0.0976	0.1041
17.5649	12.108	0.0927	0.0891	0.0983
6.9475	0.1046	0.0995	0.0963	0.1008
7.5613	0.1055	0.0973	0.096	0.0987
0.1014	5.9348	0.1002	0.0989	0.1008
0.1008	0.1011	6.7273	0.1019	0.0928
0.1013	9.2626	13.5164	0.0975	0.1049
0.1006	0.0944	0.0992	0.0925	3.1037
6.638	0.1	0.0896	0.0961	0.0965
15.8179	11.7583	0.0946	0.0958	0.0976
16.4549	11.4032	0.094	0.0944	0.0955
6.2108	0.0931	0.0933	0.093	0.0975
16.9658	11.692	0.1142	0.1082	0.0987
7.5809	0.0982	0.0915	0.0962	0.1007
0.1	0.097	0.0995	2.6378	0.0966
0.0963	4.6993	0.093	0.0949	0.0971
0.0976	0.0959	11.5917	4.7138	0.1004
6.1734	0.1038	0.0912	0.0968	0.098
0.1022	0.0982	0.0909	0.0937	2.8634
15.2776	10.2069	0.0934	0.0982	0.0961
19.5831	0.0968	0.0968	8.3335	0.1022
7.6756	0.1023	9.0956	0.0941	0.1082
21.2171	0.097	15.8119	35.0079	32.3899
0.1013	0.0988	6.2743	0.0916	0.103
0.0978	0.1029	0.0909	0.0935	2.8713
0.0998	4.1387	0.0907	0.09	0.096
0.1	0.0988	15.8624	0.0959	5.9472
0.0996	0.0987	7.4224	0.0951	0.0989
6.3171	0.1037	0.0953	0.1046	0.0977
0.0992	0.0962	13.1771	0.1009	5.86
8.2419	0.097	8.2348	0.0959	0.0972
0.0973	4.6668	0.0918	0.0957	0.0932
0.0992	0.0955	0.0961	2.9313	0.1041
7.5026	0.0959	0.0945	0.0943	0.1032
0.0968	5.5172	0.0996	0.0909	0.0998
27.7516	28.5068	19.9361	0.0928	13.1058
9.7457	0.0974	8.5537	0.1036	0.0995
17.3322	11.6526	0.0931	0.0973	0.0994
0.0993	4.1307	0.0936	0.0977	0.0999
0.0918	0.1021	0.0922	0.0955	2.7442
0.1021	0.0974	0.0981	0.0931	2.598
0.0999	0.0975	8.0827	0.0995	0.1018
0.0983	0.1024	0.1107	0.108	3.1359
0.0986	0.1023	7.3215	0.099	0.0966
0.1025	0.0998	7.8795	0.0965	0.0994
0.0963	0.0956	7.5029	0.0965	0.1027
6.6359	0.0966	0.0839	0.0927	0.0986
0.0928	21.9901	0.0966	0.1007	13.0245
8.0921	0.1003	7.901	0.0969	0.0965
0.0999	4.1815	0.0996	0.0943	0.1031
0.1029	0.099	12.8921	0.103	5.6007
16.629	25.9458	0.1012	17.0769	0.0983
6.0807	0.0969	0.0937	0.0934	0.1051
0.0937	25.4804	0.1011	15.4862	0.0962
0.0957	0.1001	0.0968	2.8601	0.0989
0.1009	0.0973	7.2894	0.0993	0.098
0.0952	0.101	0.0963	0.0937	3.19
0.096	0.1006	0.0952	3.0331	0.096
0.0989	5.1679	0.0916	0.0999	0.1011
0.0994	5.0727	0.1484	0.1336	0.0989
17.0122	21.8871	0.0965	0.0921	12.8235
0.0922	0.0942	0.096	2.3578	0.0999
0.0985	0.0951	7.8594	0.0967	0.1007
0.0995	19.3277	0.0959	0.0989	11.6589
0.0981	0.098	0.0986	2.6183	0.0966
15.2928	10.4564	0.098	0.1	0.0982
0.1011	0.0956	0.1013	3.0069	0.0963
6.9005	0.097	0.1033	0.1048	0.0987
9.0346	0.0975	7.1931	0.0999	0.1023
0.1021	0.092	7.0356	0.0989	0.0935
0.0975	20.6322	0.0952	0.0908	12.1325
0.0975	0.0973	7.6298	0.1043	0.1024
0.0977	0.1035	12.0444	24.717	24.9835
0.1068	0.0953	0.0992	3.2078	0.097
0.0982	0.1029	0.0942	0.0957	2.8196
0.104	0.1029	6.771	0.1016	0.1011
