"Trait1"	"Trait2"	"Trait3"	"Trait4"	"Trait5"	"Trait6"	"Trait7"	"Trait8"	"Trait9"	"Trait10"	"Trait11"	"Trait12"	"Trait13"
-2.0101	0.7715	0.8485	1.91	-18.5015	-19.472	-14.9211	5.206	8.2108	-13.9577	21.677	3.4813	6.6034
-0.2253	-0.3106	-0.444	-0.9651	-0.5498	2.5234	-1.384	-0.0711	-1.4903	-0.8448	-0.8941	-2.3114	-1.3602
0.1157	1.4671	1.4244	0.2563	-2.012	5.9014	-0.3269	-0.9106	-2.4217	-2.6515	-3.8776	0.9492	2.0551
0.1051	0.5536	0.6462	0.2552	-2.3156	5.5682	0.0315	-0.6736	-2.3002	-2.7386	-3.2164	0.5447	2.8041
1.6044	0.6366	0.4031	1.268	-0.6735	4.7391	-0.803	-2.8587	-0.153	-2.1347	-4.027	4.1716	-3.4472
-0.643	0.1593	0.0606	1.263	-4.9825	-1.5585	-4.3062	-1.8908	-0.8947	-1.5355	5.4144	0.9488	-0.2579
1.0065	-1.5232	-1.4111	-1.3543	1.3868	-0.2473	0.6298	2.5696	0.7497	1.9289	-0.8863	-2.2828	-1.9259
1.0944	-1.8549	-2.1908	-0.7404	2.8378	-0.56	0.6906	1.5758	-0.0184	0.3204	-1.1118	-0.8112	-2.5254
-0.4244	-1.3175	-1.3607	0.0729	-1.9835	-3.0839	-0.1922	-3.2493	2.2592	-0.7841	0.8106	0.2359	-1.2996
-0.5066	-1.1649	-1.1413	0.1767	-2.3468	-3.0058	-0.3326	-3.3309	2.3586	-0.7277	0.6644	0.2171	-1.4357
0.2419	1.3637	1.1493	1.1715	-3.1498	-5.8114	-1.7221	-10.6296	3.8005	4.04	3.5648	6.2572	-5.5074
-1.183	0.2131	0.3616	-0.5789	9.2317	4.2672	6.4117	0.2059	-0.1403	5.6098	-10.879	-5.0867	-4.6238
-1.1113	0.9688	1.3197	-0.4479	8.7493	4.6201	6.3583	0.5869	0.149	6.3534	-11.303	-4.9421	-4.5696
-0.878	0.8554	0.9012	0.4013	2.6507	2.2697	1.4074	0.2343	-1.3304	-1.1845	-3.01	-0.4424	0.082
-1.3521	0.063	0.1453	0.6245	-2.3776	0.9153	4.0184	-7.6298	1.4023	2.6838	-6.5438	-0.5781	0.9481
-0.7908	1.0792	0.9491	0.212	-2.0686	1.5224	3.8422	-7.5957	1.0536	3.4176	-7.5428	-0.1341	0.4861
-1.2781	0.9588	1.0306	0.8095	-2.5342	1.3776	3.7256	-7.7631	1.2759	2.8472	-7.2152	-0.0622	0.6378
-0.2527	0.4746	0.4609	0.9553	-2.2576	1.8654	4.3357	-7.3438	1.1187	2.9137	-7.0355	1.3511	1.4947
1.2025	-0.3098	-0.2872	0.3635	1.5852	0.9073	0.3558	1.6079	0.1439	0.5609	-2.0506	0.8473	-2.2866
1.3452	0.0502	0.0047	0.2159	1.8064	1.0744	0.3665	1.6621	0.039	0.7706	-2.3995	1.0215	-2.442
0.27	0.7457	0.7569	1.1121	-3.554	-5.8953	-1.3784	-10.203	4.0905	4.3166	4.0907	5.7157	-4.7238
-0.1621	1.1161	0.7599	-0.1864	8.8422	0.6955	5.1826	-0.4454	0.0195	-1.9546	-5.3483	1.671	-1.0834
