"Trait1"	"Trait2"	"Trait3"	"Trait4"	"Trait5"	"Trait6"	"Trait7"	"Trait8"	"Trait9"	"Trait10"	"Trait11"	"Trait12"	"Trait13"
3.3736	0.0941	0.0985	0.0928	19.064	12.0287	10.1984	5.9716	13.8111	8.1535	16.0049	7.3495	9.231
0.5964	0.0884	0.0889	0.0964	1.5349	2.5361	1.4495	1.0019	1.3473	1.2519	1.8458	1.7822	2.3483
0.5914	0.0911	0.0944	0.0992	2.8967	4.0463	2.4774	1.3944	1.9089	1.7131	2.297	1.6779	2.0396
0.615	0.0885	0.0954	0.0946	2.8621	4.1111	2.1602	1.497	1.9569	1.5874	2.0408	2.1116	2.0336
0.0992	0.6386	0.6653	0.0985	3.2462	2.4771	2.2136	3.655	1.444	2.2692	3.1478	1.5938	3.3457
0.6075	0.0924	0.092	0.0964	2.71	2.256	1.7258	1.6911	2.324	1.8319	2.8932	2.2299	1.7094
0.6009	0.0909	0.0913	0.1001	2.0407	2.0594	1.8838	1.6278	1.223	1.5559	2.6652	2.1381	1.2519
0.0958	0.0905	0.0974	0.5384	2.1498	1.6625	2.1091	1.4966	1.324	1.3177	3.2555	2.1033	1.4809
0.095	0.091	0.0935	0.4297	2.6084	3.1523	1.5409	2.1965	1.9043	1.2943	2.5198	1.3661	1.7758
0.0987	0.5087	0.5164	0.0896	2.5464	3.148	1.4803	2.2486	1.9625	1.2849	2.7834	1.2348	1.8208
0.0978	0.0868	0.0921	0.5119	7.4794	7.3676	3.4651	6.8722	3.3159	4.1427	4.2591	7.4446	5.4953
0.1005	0.0951	0.0963	0.438	4.2609	3.5562	2.8125	2.3202	2.1206	2.9822	6.724	2.5833	5.5229
0.5567	0.2697	0.0966	0.0952	4.1165	3.6189	2.6236	2.4047	1.9738	3.0406	6.6516	2.5345	5.5825
0.634	0.0981	0.2735	0.094	1.9824	2.507	1.2449	1.5722	2.0127	1.2867	2.1309	1.3686	1.4744
0.0918	0.0908	0.0886	0.4413	2.6604	3.4797	3.0029	3.5636	1.7502	2.7735	6.2226	2.4758	2.869
0.5121	0.0898	0.2662	0.0977	2.6964	3.581	2.4616	3.528	1.7167	2.8284	6.2826	2.8285	3.5272
0.0968	0.267	0.0978	0.0921	2.7383	3.3852	2.5911	3.6693	1.8204	2.6215	6.3361	2.7514	3.2149
0.0991	0.0953	0.2744	0.092	2.6034	3.6794	2.8487	3.5385	1.7231	2.5858	6.4711	2.616	3.0337
0.5111	0.0925	0.0927	0.0936	1.8157	1.7449	1.7308	1.483	1.1392	1.0135	3.1426	1.3165	1.2754
0.0997	0.0973	0.2656	0.4622	1.9474	1.8711	1.5629	1.5438	1.1282	1.0771	3.2144	1.1651	1.4202
0.0917	0.0908	0.096	0.5124	7.5858	7.2596	3.3942	6.498	3.256	4.1927	4.3548	7.1459	5.0876
0.0987	0.2779	0.0985	0.0887	7.1301	4.4882	3.412	3.0626	1.9635	1.9542	3.0454	2.3228	4.4306
0.5254	0.0925	0.292	0.097	7.132	4.3846	3.4864	2.9508	1.8743	1.8576	3.1218	2.2944	4.5347
0.6556	0.0958	0.0961	0.5281	2.3176	3.8683	1.9782	1.78	1.9733	1.6045	2.1121	3.0284	2.2075
0.0916	0.6718	0.7015	0.0999	2.6387	3.6206	1.8193	1.4892	2.8367	1.3802	3.2204	1.6256	3.3724
0.6011	0.0893	0.2924	0.5174	2.6463	3.7595	2.2473	1.6088	2.0524	2.1175	2.4976	1.8454	2.3619
